date,datetime,open,high,low,close,volume,stock_code,stock_name
20250711,2025-07-11,261000.0,261500.0,253000.0,253000.0,1249355,035420,네이버
20250714,2025-07-14,252000.0,252500.0,244000.0,249000.0,1205192,035420,네이버
20250715,2025-07-15,247500.0,253000.0,247000.0,249500.0,791762,035420,네이버
20250716,2025-07-16,251000.0,255500.0,249000.0,250000.0,785410,035420,네이버
20250717,2025-07-17,254000.0,255000.0,242500.0,243500.0,1262077,035420,네이버
20250718,2025-07-18,243500.0,245000.0,240000.0,242000.0,703602,035420,네이버
20250721,2025-07-21,241500.0,245500.0,240000.0,240000.0,674282,035420,네이버
20250722,2025-07-22,241500.0,242000.0,234500.0,235000.0,930384,035420,네이버
20250723,2025-07-23,236000.0,237500.0,229500.0,231500.0,719824,035420,네이버
20250724,2025-07-24,233000.0,234500.0,225000.0,227000.0,1177878,035420,네이버
20250725,2025-07-25,226500.0,236000.0,225000.0,234500.0,1202489,035420,네이버
20250728,2025-07-28,236000.0,237000.0,232000.0,235500.0,600063,035420,네이버
20250729,2025-07-29,235500.0,240000.0,232000.0,233000.0,928345,035420,네이버
20250730,2025-07-30,233500.0,240000.0,233500.0,234000.0,768748,035420,네이버
20250731,2025-07-31,235000.0,236500.0,232500.0,235000.0,521064,035420,네이버
20250801,2025-08-01,232500.0,233000.0,224000.0,225000.0,827729,035420,네이버
20250804,2025-08-04,225500.0,239500.0,225000.0,232500.0,1276649,035420,네이버
20250805,2025-08-05,236000.0,236500.0,229000.0,232000.0,683813,035420,네이버
20250806,2025-08-06,236500.0,236500.0,226000.0,228500.0,1076418,035420,네이버
20250807,2025-08-07,230000.0,235500.0,228000.0,235500.0,1019496,035420,네이버
20250808,2025-08-08,241000.0,241500.0,228500.0,229500.0,1638049,035420,네이버
20250811,2025-08-11,229500.0,230000.0,222500.0,223000.0,1264837,035420,네이버
20250812,2025-08-12,223500.0,228000.0,223000.0,223000.0,743541,035420,네이버
20250813,2025-08-13,225500.0,226000.0,221500.0,225000.0,1017399,035420,네이버
20250814,2025-08-14,228500.0,233500.0,224000.0,224500.0,1165222,035420,네이버
20250818,2025-08-18,224500.0,228500.0,223500.0,226000.0,479724,035420,네이버
20250819,2025-08-19,228000.0,228500.0,223000.0,225500.0,419214,035420,네이버
20250820,2025-08-20,221500.0,224000.0,219500.0,221500.0,507825,035420,네이버
20250821,2025-08-21,222000.0,226500.0,222000.0,223000.0,463923,035420,네이버
20250822,2025-08-22,224000.0,227000.0,221000.0,222000.0,543978,035420,네이버
20250825,2025-08-25,224500.0,225500.0,221500.0,225500.0,564999,035420,네이버
20250826,2025-08-26,224000.0,224500.0,221000.0,221000.0,685341,035420,네이버
20250827,2025-08-27,222000.0,222000.0,216500.0,218000.0,691579,035420,네이버
20250828,2025-08-28,217500.0,218500.0,215000.0,217500.0,663919,035420,네이버
20250829,2025-08-29,217500.0,218000.0,214000.0,214500.0,750586,035420,네이버
20250901,2025-09-01,211500.0,216500.0,210500.0,215500.0,634984,035420,네이버
20250902,2025-09-02,216000.0,229000.0,216000.0,225000.0,1790972,035420,네이버
20250903,2025-09-03,224500.0,225000.0,220000.0,221000.0,711207,035420,네이버
20250904,2025-09-04,221500.0,229500.0,221500.0,227000.0,971838,035420,네이버
20250905,2025-09-05,227500.0,230500.0,225500.0,229000.0,941824,035420,네이버
20250908,2025-09-08,228500.0,229500.0,226000.0,228000.0,716688,035420,네이버
20250909,2025-09-09,228500.0,233000.0,226000.0,231000.0,929473,035420,네이버
20250910,2025-09-10,232000.0,234500.0,230500.0,233500.0,915806,035420,네이버
20250911,2025-09-11,234500.0,236000.0,231500.0,233000.0,808213,035420,네이버
20250912,2025-09-12,234500.0,239000.0,232500.0,236000.0,1191699,035420,네이버
20250915,2025-09-15,236000.0,236000.0,231500.0,234000.0,710904,035420,네이버
20250916,2025-09-16,239500.0,241000.0,234500.0,235000.0,923864,035420,네이버
20250917,2025-09-17,233500.0,235000.0,229500.0,233500.0,2083776,035420,네이버
20250918,2025-09-18,235000.0,238500.0,233500.0,238500.0,1004507,035420,네이버
20250919,2025-09-19,239000.0,240000.0,233500.0,234000.0,1585243,035420,네이버
20250922,2025-09-22,234000.0,235000.0,229000.0,232000.0,1004689,035420,네이버
20250923,2025-09-23,232000.0,235500.0,230000.0,231000.0,735957,035420,네이버
20250924,2025-09-24,231000.0,233500.0,224500.0,228000.0,982181,035420,네이버
20250925,2025-09-25,226500.0,257000.0,225500.0,254000.0,8314576,035420,네이버
20250926,2025-09-26,251500.0,262000.0,250000.0,256500.0,4597910,035420,네이버
20250929,2025-09-29,268500.0,278500.0,266000.0,274500.0,3486022,035420,네이버
20250930,2025-09-30,279000.0,279500.0,265500.0,268500.0,2764865,035420,네이버
20251001,2025-10-01,267000.0,268500.0,253000.0,254500.0,3385774,035420,네이버
20251002,2025-10-02,255500.0,258000.0,250500.0,253000.0,2205648,035420,네이버
20251010,2025-10-10,256500.0,275000.0,255500.0,267500.0,3490894,035420,네이버
20251013,2025-10-13,258000.0,266500.0,258000.0,262500.0,1454859,035420,네이버
20251014,2025-10-14,262000.0,270500.0,257000.0,258000.0,2072061,035420,네이버
20251015,2025-10-15,260500.0,261000.0,255000.0,258500.0,1438737,035420,네이버
20251016,2025-10-16,257500.0,270000.0,255500.0,260500.0,2154638,035420,네이버
20251017,2025-10-17,260000.0,260500.0,254000.0,255500.0,1478832,035420,네이버
20251020,2025-10-20,255000.0,262500.0,250000.0,258000.0,1527621,035420,네이버
20251021,2025-10-21,260000.0,260500.0,254000.0,254500.0,1321294,035420,네이버
20251022,2025-10-22,254000.0,256500.0,247000.0,255500.0,1076507,035420,네이버
20251023,2025-10-23,251500.0,251500.0,242000.0,242500.0,2033710,035420,네이버
20251024,2025-10-24,245000.0,248500.0,242500.0,247000.0,1005395,035420,네이버
20251027,2025-10-27,245000.0,251500.0,242000.0,251000.0,1317125,035420,네이버
20251028,2025-10-28,250500.0,255000.0,248000.0,253000.0,908952,035420,네이버
20251029,2025-10-29,255000.0,268500.0,253500.0,265000.0,2466385,035420,네이버
20251030,2025-10-30,267000.0,267000.0,254500.0,255500.0,1393179,035420,네이버
20251031,2025-10-31,263000.0,273500.0,261000.0,267500.0,2861914,035420,네이버
20251103,2025-11-03,283500.0,287500.0,271500.0,274500.0,2760215,035420,네이버
20251104,2025-11-04,272500.0,274000.0,267000.0,267000.0,1325780,035420,네이버
20251105,2025-11-05,269000.0,280000.0,256500.0,278500.0,3470467,035420,네이버
20251106,2025-11-06,281500.0,282000.0,264000.0,264000.0,2287056,035420,네이버
20251107,2025-11-07,256000.0,267000.0,256000.0,260000.0,1648859,035420,네이버
20251110,2025-11-10,263500.0,264000.0,258000.0,260000.0,974635,035420,네이버
20251111,2025-11-11,261500.0,270500.0,261000.0,263000.0,1341337,035420,네이버
20251112,2025-11-12,265500.0,265500.0,262000.0,263500.0,600486,035420,네이버
20251113,2025-11-13,262500.0,266000.0,258500.0,265500.0,724253,035420,네이버
20251114,2025-11-14,258000.0,260000.0,253000.0,253500.0,923411,035420,네이버
20251117,2025-11-17,256500.0,257000.0,254000.0,255000.0,507818,035420,네이버
20251118,2025-11-18,251500.0,260500.0,248500.0,249000.0,959645,035420,네이버
20251119,2025-11-19,250500.0,251000.0,243000.0,248500.0,570754,035420,네이버
20251120,2025-11-20,260000.0,263000.0,254500.0,257000.0,970537,035420,네이버
20251121,2025-11-21,251000.0,265000.0,249500.0,262500.0,1278706,035420,네이버
20251124,2025-11-24,267500.0,269500.0,259000.0,261000.0,1673646,035420,네이버
20251125,2025-11-25,262500.0,262500.0,250500.0,253000.0,1218659,035420,네이버
20251126,2025-11-26,255000.0,264500.0,252000.0,263500.0,944519,035420,네이버
20251127,2025-11-27,259500.0,261500.0,250500.0,251500.0,2028550,035420,네이버
20251128,2025-11-28,253500.0,254000.0,243500.0,244000.0,1580887,035420,네이버
20251201,2025-12-01,246500.0,247500.0,242500.0,243000.0,666662,035420,네이버
20251202,2025-12-02,243000.0,245000.0,241500.0,243000.0,618439,035420,네이버
20251203,2025-12-03,246500.0,248500.0,245500.0,246500.0,630018,035420,네이버
20251204,2025-12-04,245500.0,248500.0,244500.0,247000.0,487370,035420,네이버
20251205,2025-12-05,247500.0,250000.0,246000.0,249500.0,575298,035420,네이버
