date,datetime,open,high,low,close,volume,stock_code,stock_name
20250711,2025-07-11,209000.0,211500.0,207500.0,208000.0,592335,005380,현대차
20250714,2025-07-14,208500.0,218000.0,208000.0,217000.0,1241993,005380,현대차
20250715,2025-07-15,217000.0,217500.0,209500.0,211000.0,1111748,005380,현대차
20250716,2025-07-16,211000.0,211000.0,207500.0,207500.0,492782,005380,현대차
20250717,2025-07-17,208500.0,212000.0,205500.0,210000.0,611349,005380,현대차
20250718,2025-07-18,210000.0,212500.0,208500.0,210500.0,317353,005380,현대차
20250721,2025-07-21,209500.0,210500.0,208000.0,209000.0,460835,005380,현대차
20250722,2025-07-22,209000.0,209500.0,204500.0,206500.0,441603,005380,현대차
20250723,2025-07-23,213000.0,223000.0,213000.0,222000.0,2832242,005380,현대차
20250724,2025-07-24,221000.0,225500.0,214500.0,217500.0,1417925,005380,현대차
20250725,2025-07-25,215000.0,221000.0,214000.0,216500.0,665815,005380,현대차
20250728,2025-07-28,221500.0,222500.0,216000.0,218500.0,692799,005380,현대차
20250729,2025-07-29,217500.0,218500.0,214000.0,218000.0,646415,005380,현대차
20250730,2025-07-30,215500.0,228000.0,215500.0,223000.0,1239327,005380,현대차
20250731,2025-07-31,233000.0,233000.0,212000.0,213000.0,2956498,005380,현대차
20250801,2025-08-01,211000.0,215500.0,210000.0,210000.0,1083280,005380,현대차
20250804,2025-08-04,210000.0,212500.0,207000.0,211000.0,651682,005380,현대차
20250805,2025-08-05,213000.0,215000.0,209500.0,210500.0,480510,005380,현대차
20250806,2025-08-06,209000.0,211500.0,208500.0,210500.0,385330,005380,현대차
20250807,2025-08-07,213500.0,215000.0,211000.0,212500.0,421547,005380,현대차
20250808,2025-08-08,212500.0,214000.0,211500.0,212500.0,440664,005380,현대차
20250811,2025-08-11,213000.0,213500.0,211500.0,212500.0,298656,005380,현대차
20250812,2025-08-12,212000.0,216000.0,211500.0,213000.0,347183,005380,현대차
20250813,2025-08-13,215500.0,216000.0,214000.0,216000.0,377571,005380,현대차
20250814,2025-08-14,216000.0,219000.0,216000.0,217500.0,546695,005380,현대차
20250818,2025-08-18,217500.0,218000.0,215000.0,216500.0,405813,005380,현대차
20250819,2025-08-19,216500.0,219000.0,215000.0,219000.0,442222,005380,현대차
20250820,2025-08-20,218500.0,222000.0,217500.0,220500.0,784564,005380,현대차
20250821,2025-08-21,221000.0,224500.0,220500.0,221500.0,601284,005380,현대차
20250822,2025-08-22,222000.0,223500.0,219500.0,220000.0,401067,005380,현대차
20250825,2025-08-25,221500.0,222000.0,217500.0,222000.0,419600,005380,현대차
20250826,2025-08-26,220500.0,222000.0,217500.0,218500.0,806670,005380,현대차
20250827,2025-08-27,219000.0,221000.0,218500.0,220000.0,337163,005380,현대차
20250828,2025-08-28,218500.0,225000.0,218000.0,222000.0,734689,005380,현대차
20250829,2025-08-29,223000.0,224500.0,218500.0,220000.0,606655,005380,현대차
20250901,2025-09-01,220500.0,223000.0,219000.0,220500.0,504672,005380,현대차
20250902,2025-09-02,221000.0,221000.0,217000.0,220000.0,365383,005380,현대차
20250903,2025-09-03,218500.0,223500.0,218500.0,221500.0,459718,005380,현대차
20250904,2025-09-04,221000.0,221500.0,219500.0,221500.0,249504,005380,현대차
20250905,2025-09-05,222000.0,222500.0,219500.0,220000.0,245652,005380,현대차
20250908,2025-09-08,218000.0,218500.0,215500.0,218500.0,382254,005380,현대차
