model,dataset,loss,mae,mse,rmse,r2_score,mape
삼성전자,Validation,0.02902638167142868,0.161830872297287,0.02902638167142868,0.17037130530529102,-1.7103508201943156,13.976112360861215
삼성전자,Test,0.04342865198850632,0.19916169345378876,0.04342865198850632,0.20839542218702004,-4.215813248318429,16.72203129363617
삼성전자,Validation,0.05245109647512436,0.22099369764328003,0.05245109647512436,0.22902204364454606,-3.8976443051658807,19.165409654602005,7641.281369342059,7918.8779681042015,-3.8976443051658825,7.649760015705639
삼성전자,Test,0.07123511284589767,0.2591852843761444,0.07123511284589767,0.2668990686493635,-7.555389398515411,21.848535044173225,8961.831754392355,9228.548760477153,-7.555389398515409,8.873947165374418
