model,dataset,loss,mae,mse,rmse,r2_score,mape
현대차,Validation,0.6866210699081421,0.7305133938789368,0.6866210699081421,0.8286260132943825,-1.5360113584352248,39.9302494184273
현대차,Test,1.4592816829681396,1.191245436668396,1.4592816829681396,1.2080073190871568,-27.862272683949,52.57374489941592
현대차,Validation,0.6748340129852295,0.7174822688102722,0.6748340129852295,0.8214828135665587,-1.492476479357907,38.944553930723764,21156.529525406346,24223.21221008564,-1.4924764793579066,8.114973410637464
현대차,Test,1.449113368988037,1.1855980157852173,1.449113368988037,1.2037912480941357,-27.661149197689475,52.284491825821156,34959.93832205202,35496.40733163453,-27.661149197689472,12.906286080515194
