model,dataset,loss,mae,mse,rmse,r2_score,mape
네이버,Validation,0.0027475750539451838,0.04001525416970253,0.0027475750539451838,0.052417316355811115,0.7925195568033134,5.394848526803935
네이버,Test,0.0040984987281262875,0.055502112954854965,0.0040984987281262875,0.06401951833719376,0.6602652271145422,7.163659974554661
네이버,Validation,0.004287924151867628,0.05594702810049057,0.004287924151867628,0.06548224302715683,0.6762015699775763,7.803265595099014,3776.4248146370032,4420.051383017237,0.6762015699775766,1.446647000959612
네이버,Test,0.006015640217810869,0.07136993855237961,0.006015640217810869,0.0775605583902725,0.501348614810893,9.416049908557417,4817.470424702686,5235.337589244579,0.5013486148108937,1.828196531669794
